date,time,lat,lng,elevation
2024-01-06,06:30:00,-33.9250,18.4210,18
2024-01-06,06:35:00,-33.9235,18.4230,21
2024-01-06,06:40:00,-33.9220,18.4250,25
2024-01-06,06:45:00,-33.9208,18.4270,23
2024-01-06,06:50:00,-33.9195,18.4290,28
2024-01-06,06:55:00,-33.9180,18.4310,27
2024-01-13,07:05:00,-33.9300,18.4100,12
2024-01-13,07:11:00,-33.9280,18.4125,16
2024-01-13,07:17:00,-33.9260,18.4150,20
2024-01-13,07:23:00,-33.9240,18.4175,19
2024-01-13,07:29:00,-33.9220,18.4200,24
2024-01-13,07:35:00,-33.9200,18.4225,22
